ID,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,income_group_num,EducationLevel,Marital_Status_Encoded,has_kids,month_year,year_half,Age
5524,58138,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,3,3,1,0,2012-04,2012.0 - First Half,55.0
2174,46344,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,3,1,1,2014-08,2014.0 - Second Half,60.0
6182,26646,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,3,2,1,2014-10,2014.0 - Second Half,30.0
7446,62513,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,3,4,2,1,2013-09,2013.0 - Second Half,46.0
6177,33454,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,5,2,1,2013-08,2013.0 - Second Half,28.0
4855,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,5,2,1,2013-06,2013.0 - First Half,39.0
2569,17323,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,1,3,2,0,2012-10,2012.0 - Second Half,25.0
2278,33812,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,2,1,1,2012-03,2012.0 - First Half,27.0
9360,37040,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2,3,2,0,2012-08,2012.0 - Second Half,30.0
5376,2447,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,3,2,1,2013-06,2013.0 - First Half,34.0
4047,65324,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,3,5,2,1,2014-11,2014.0 - Second Half,60.0
7892,18589,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,1,3,1,0,2013-02,2013.0 - First Half,44.0
3033,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2,4,2,0,2013-11,2013.0 - Second Half,50.0
5710,40548,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,2,3,2,1,2012-10,2012.0 - Second Half,42.0
10755,23718,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,2,2,1,2013-02,2013.0 - First Half,37.0
8595,42429,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2,3,1,1,2014-11,2014.0 - Second Half,41.0
2968,48948,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,2,5,1,0,2013-01,2013.0 - First Half,70.0
503,20559,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,4,2,1,2013-12,2013.0 - Second Half,28.0
7281,52247,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,3,5,1,0,2013-05,2013.0 - First Half,54.0
2139,7500,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,4,2,1,2013-02,2013.0 - First Half,38.0
7244,52247,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,3,1,1,2014-01,2014.0 - First Half,63.0
6566,72550,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,4,5,2,1,2012-08,2012.0 - Second Half,58.0
8614,65486,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,3,3,1,1,2014-12,2014.0 - Second Half,57.0
4114,79143,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,4,4,2,0,2012-11,2012.0 - Second Half,48.0
1331,35790,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,2,3,1,1,2013-02,2013.0 - First Half,36.0
2225,82582,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,4,3,1,0,2014-07,2014.0 - Second Half,37.0
